index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
298,5,80,630,315.683,0.0102359
299,5,80,531,367.041,0.00719765
300,5,80,557,127.386,0.0103378
301,5,80,688,261.842,0.006772
302,5,80,543,317.451,0.00926688
303,5,80,759,422.473,0.00978913
304,5,80,728,117.075,0.0037235
305,5,80,937,199.47,0.00512886
306,5,80,883,245.608,0.00594844
307,5,80,728,437.318,0.00658975
308,5,100,300,169.682,0.00260538
309,5,100,260,257.828,0.00410673
310,5,100,271,333.147,0.00610501
311,5,100,277,483.062,0.00752685
312,5,100,315,230.378,0.00764954
313,5,100,511,262.61,0.0112993
314,5,100,399,321.108,0.0131207
315,5,100,418,428.395,0.0164707
316,5,100,472,138.651,0.00522755
317,5,100,552,265.551,0.0123246
318,5,100,725,362.732,0.0139371
319,5,100,682,429.574,0.0139923
320,5,100,898,150.4,0.00772496
321,5,100,690,226.52,0.00943247
322,5,100,816,337.124,0.0102986
323,5,100,857,420,0.0184753
324,5,100,818,124.647,0.00893306
325,5,100,1014,212.207,0.01276
326,5,100,716,351.484,0.0181624
327,5,100,870,466.759,0.0126826
328,5,100,865,170.567,0.0107035
329,5,100,1026,240.585,0.0177276
330,5,100,953,418.771,0.0196623
331,5,100,1258,432.894,0.0157163
332,5,100,1226,110.713,0.00925271
333,5,100,1064,287.093,0.00869431
334,5,100,1600,309.152,0.013141
335,5,100,1091,455.714,0.0220468
336,5,120,278,141.55,0.0030976
337,5,120,453,265.212,0.012981
338,5,120,520,338.1,0.0116088
339,5,120,395,457.303,0.0124449
340,5,120,792,145.957,0.0120729
341,5,120,657,305.057,0.0141374
342,5,120,845,404.972,0.0199509
343,5,120,782,408.549,0.0256151
344,5,120,834,124.66,0.010562
345,5,120,628,218.326,0.018081
346,5,120,729,362.707,0.0195597
347,5,120,507,413.393,0.0244138
348,5,120,768,122.806,0.0162826
349,5,120,1027,258.92,0.0236188
350,5,120,1043,311.366,0.0425026
351,5,120,1248,514.169,0.0215046
352,5,120,787,99.9714,0.0143331
353,5,120,1464,191.945,0.0196583
354,5,120,915,329.311,0.0249949
355,5,120,1115,497.208,0.0661143
356,5,120,1375,148.8,0.0124577
357,5,120,1593,244.676,0.0132431
358,5,120,1588,357.131,0.0343155
359,5,120,1464,437.681,0.0179202
360,5,120,1919,127.743,0.00913395
361,5,120,2193,257.681,0.0172571
362,5,120,1902,324.559,0.0189935
363,5,120,1587,457.155,0.0198341
364,5,140,377,176,0.00760928
365,5,140,665,219.636,0.0134703
366,5,140,708,298.133,0.0232404
367,5,140,395,567.066,0.0277134
368,5,140,627,129.41,0.00840286
369,5,140,1011,265.675,0.0237482
370,5,140,794,359.391,0.024807
371,5,140,915,393.145,0.0479249
372,5,140,596,220.565,0.0165076
373,5,140,624,248.699,0.0186798
374,5,140,1153,450.391,0.0413352
375,5,140,1470,482.301,0.0459758
376,5,140,1319,126.829,0.0337446
377,5,140,1330,349.275,0.0175816
378,5,140,1454,336.233,0.0542813
379,5,140,1493,454.054,0.0355506
380,5,140,1804,119.957,0.0131503
381,5,140,1281,293.821,0.0256597
382,5,140,1847,324.842,0.0274327
383,5,140,1586,445.858,0.0292629
384,5,140,2191,135.13,0.0155162
385,5,140,1960,227.088,0.0209269
386,5,140,1624,262.956,0.036013
387,5,140,1632,477.017,0.0252847
388,5,140,1977,133.752,0.0191514
389,5,140,2494,202.267,0.021914
390,5,140,2446,343.769,0.0429403
391,5,140,1358,522.785,0.0855648
392,5,160,744,198.133,0.0197492
393,5,160,860,258.213,0.0147062
394,5,160,378,467.364,0.0288884
395,5,160,873,446.939,0.0279635
396,5,160,1195,136.93,0.030371
397,5,160,899,299.112,0.0650364
398,5,160,1121,335.085,0.0423597
399,5,160,1257,417.789,0.05884
400,5,160,1306,182.81,0.0177161
401,5,160,1428,279.026,0.0493584
402,5,160,948,370.929,0.0498353
403,5,160,1305,474.511,0.0364766
404,5,160,1764,138.185,0.0376184
405,5,160,2052,295.618,0.039753
406,5,160,1701,292.735,0.097888
407,5,160,2082,447.164,0.0616028
408,5,160,2264,135.238,0.0396647
409,5,160,2242,213.342,0.02898
410,5,160,1460,316.171,0.0796262
411,5,160,1528,401.84,0.0971458
412,5,160,2487,104.392,0.0225138
413,5,160,2283,261.23,0.0420571
414,5,160,3588,328.308,0.0475371
415,5,160,3026,424.442,0.0842726
416,5,160,2883,148.544,0.0422409
417,5,160,4534,196,0.035628
418,5,160,2878,311.786,0.0476306
419,5,160,2384,426.741,0.0466693
420,6,80,138,225.667,0.00196946
421,6,80,174,301.15,0.00279122
422,6,80,145,490.4,0.00362069
423,6,80,190,479.643,0.00396577
424,6,80,236,203.586,0.00302516
425,6,80,245,319.87,0.00495425
426,6,80,247,349.164,0.00560035
427,6,80,263,424.179,0.00708117
428,6,80,293,115.484,0.00452178
429,6,80,336,350.784,0.0060281
430,6,80,381,315.986,0.00619179
431,6,80,314,473.587,0.0103803
432,6,80,403,167.143,0.00589422
433,6,80,374,277.661,0.00596804
434,6,80,292,432.525,0.00631086
435,6,80,432,491.516,0.00828003
436,6,80,494,210.188,0.005288
437,6,80,496,230.533,0.0066857
438,6,80,555,321.959,0.00793102
439,6,80,541,428.491,0.00876558
440,6,80,656,135.638,0.00422564
441,6,80,744,225.533,0.00465854
442,6,80,630,392.479,0.00602118
443,6,80,669,397.605,0.00646029
444,6,80,720,102.754,0.00304692
445,6,80,667,262.899,0.00630013
446,6,80,745,334.877,0.00479043
447,6,80,644,391.077,0.00595389
448,6,100,202,170.222,0.00187486
449,6,100,192,198.984,0.0025655
450,6,100,181,293.958,0.00364776
451,6,100,272,364.695,0.00761841
452,6,100,396,205.711,0.0056053
453,6,100,358,198.451,0.00775165
454,6,100,304,379.6,0.0126689
455,6,100,379,386.35,0.0130232
456,6,100,598,125.302,0.0104697
457,6,100,551,235.5,0.0176089
458,6,100,572,368.938,0.017866
459,6,100,596,441.641,0.0161821
460,6,100,728,111.404,0.0104034
461,6,100,783,230.402,0.0109403
462,6,100,626,259.84,0.0257797
463,6,100,641,412.948,0.0141698
464,6,100,744,165.819,0.0113462
465,6,100,825,195.562,0.0181425
466,6,100,806,283.034,0.0136693
467,6,100,896,398.884,0.0182681
468,6,100,1134,117.565,0.0123611
469,6,100,835,253.096,0.0149485
470,6,100,938,287.704,0.0178409
471,6,100,793,403.374,0.0144678
472,6,100,980,102.379,0.00809694
473,6,100,1248,192.326,0.00694147
474,6,100,885,366.791,0.0110514
475,6,100,1340,355.337,0.0124095
476,6,120,437,162.5,0.00867145
477,6,120,293,393.886,0.00929674
478,6,120,485,373.099,0.0118643
479,6,120,467,351.657,0.0140122
480,6,120,592,153.41,0.0103158
481,6,120,610,273.452,0.0143859
482,6,120,521,293.828,0.0194428
483,6,120,602,377.792,0.0351719
484,6,120,703,162.28,0.014733
485,6,120,838,221.505,0.0274472
486,6,120,611,402.3,0.0180222
487,6,120,717,446.29,0.0290941
488,6,120,942,168.769,0.031898
489,6,120,1121,225.738,0.0196104
490,6,120,1019,359.405,0.0283096
491,6,120,1208,350.128,0.032149
492,6,120,729,165.298,0.0145829
493,6,120,1132,216.3,0.0184357
494,6,120,1105,342.608,0.021411
495,6,120,1251,423.577,0.0282312
496,6,120,1381,156.272,0.0201459
497,6,120,1239,199.778,0.0129744
498,6,120,1479,322.208,0.0210426
499,6,120,1168,387.34,0.0189324
500,6,120,1303,144.368,0.0128447
501,6,120,1640,272.442,0.017649
502,6,120,1508,312.466,0.0159419
503,6,120,1782,460.439,0.0230366
504,6,140,560,165.686,0.0161389
505,6,140,481,251.854,0.0118889
506,6,140,622,349.735,0.0220573
507,6,140,580,434.556,0.0203045
508,6,140,710,109.673,0.013441
509,6,140,805,222.087,0.0265521
510,6,140,1046,294.91,0.0267229
511,6,140,742,435.733,0.0479873
512,6,140,643,235.642,0.0247307
513,6,140,1119,217.746,0.0384294
514,6,140,1280,317.322,0.0316268
515,6,140,703,451.681,0.0404318
516,6,140,1315,144.276,0.0151269
517,6,140,1253,203.094,0.0391353
518,6,140,1237,383.105,0.0534634
